Código;GT;Autores;Instituciones
0233 ;05. Desarrollo Rural y cuestión agraria;"1Rene Evaristo Oviedo; 2Carolina Almada; 3Zunilda Poggio; 4Fernando Fleitas; 5Artenio Driutti";1 - INTA, 2 - INTI, 3 - Asociación Ecológica de Bella Vista, 4 - INCUPO, 5 - UNNE
0234 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Sebastián Goinheix;1 - Instituto de Economía-UdelaR
0235 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Giselle Torres;1 - Pontificia Universidad Católica de Chile
0236 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Teresa Maffei;1 - personal
0237 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Sebastian Giraldo;1 - Universidad Nacional
0238 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Victoria Mazzeo; 2Andrea Carolina Gil";1 - UBA y Dirección General de Estadística y Censos -GCBA, 2 - Dirección General de Estadística y Censos - GCBA
0239 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Oscar Davila;1 - Centro de Estudios Sociales CIDPA
0240 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Gino Giffoni;1 - FHUCE-UDELAR
0241 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Héctor Alexis Solórzano;1 - Universidad Arturo Prat
0242 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1José Gilberto Reséndiz;1 - Instituto Politécnico Nacional CIECAS
0243 ;24. Sociología de la Educación y Políticas Educativas;1Sandra Maria Mattar;1 - PUCPR
0245 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Liliana Giraldo; 1Marcela Agudelo; 1Dolores Mino; 2Natalia Guevara; 1Mariana López";1 - Instituto Nacional de Geriatría, 2 - Universidad Nacional Autónoma de México
0246 ;25. Integración Regional, Geopolítica y Desarrollo;1Ana Tereza Sousa;1 - Universidade Anhembi Morumbi
0247 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Rogelio Marcial;1 - El Colegio de Jalisco
0248 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Ricardo Regules;1 - Programa Universitario de Estudios del Desarrollo UNAM
0249 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Luis Mack;1 - FLACSO
0250 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Jóice Domeniconi; 1Rosana Baeninger";1 - UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP)
0251 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Rosana Baeninger;1 - Unicamp
0252 ;06. Imaginarios Sociales y Memoria;1Barbara Lopes;1 - UFRJ
0253 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Antonio Fuentes;1 - Posgrado en Sociología, Instituto de Ciencias Sociales y Humanidades, Universidad Autónoma de Puebla
0257 ;08. Desigualdad, Pobreza y Exclusión Social;"1Rosa Rojas; 2Fabián González";1 - Universidad de Guadalajara, 2 - INDESO AC
0258 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Yolanda Oliva;1 - UADY
0259 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Claudia Robles;1 - ED SESAM
0261 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Jorge Luis Duárez;1 - IDAES
0262 ;25. Integración Regional, Geopolítica y Desarrollo;1Evaristo Nunes;1 - Universidade de Brasília
0263 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Diego Solsona;1 - Universidad de Magallanes
0264 ;08. Desigualdad, Pobreza y Exclusión Social;1María Fernanda Vicuña;1 - Universidad Autónoma Chapingo
0265 ;17. Trabajo y Restructuración Productiva;1Leslie Noemí Lemus;1 - El Colegio de México
0267 ;08. Desigualdad, Pobreza y Exclusión Social;1Marco Merchand;1 - Universidad de Guadalajara
0268 ;19. Acciones Colectivas y Movimientos Sociales;1Paulo Milhomens Paulo;1 - Universidade Federal do Amapá (UNIFAP)
0269 ;24. Sociología de la Educación y Políticas Educativas;"1José Gilberto Reséndiz; 2Guillermina Gutierrez";1 - Instituto Politécnico Nacional CIECAS, 2 - Escuela Normal de Especializaciones
0270 ;25. Integración Regional, Geopolítica y Desarrollo;1Geovana Gabriela Viera;1 - UNIVERSIDADE FEDERAL DO PAMPA
0271 ;05. Desarrollo Rural y cuestión agraria;"1Alexandre Aloys Matte Júnior; 1Alberto Machado";1 - FACCAT - Faculdades Integradas de Taquara
0272 ;22. Sociología del Ocio y el Deporte;1Nicolas Cabrera;1 - UNSAM/CONICET
0274 ;17. Trabajo y Restructuración Productiva;1Maíra Etzel;1 - Universidade Federal do Rio de Janeiro
0275 ;24. Sociología de la Educación y Políticas Educativas;1Emilio Torres;1 - UNIVERSIDAD CENTRAL DE CHILE
0276 ;26. Sociología de los Cuerpos y las Emociones;"1Josenildo Soares Bezerra; 2Marluce Pereira";1 - Universidade Federal do Rio Grande do Norte, 2 - Universidade Federal da Paraíba
0277 ;20. Sociología de la Religión;1Ana Beatriz Marques Silva;1 - UFMG
0278 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Rosario Palacios;1 - Universidad Diego Portales
0279 ;05. Desarrollo Rural y cuestión agraria;"1Germán Orisini Orsini; 1Néstor Domínguez Dominguez; 2Néstor Serfaty Serfaty";1 - Universidad Nacional de Entre Ríos, 2 - Dirección de Estadisticas y Censos de Entre Ríos
0280 ;05. Desarrollo Rural y cuestión agraria;"1Germán Orsini; 1Néstor Domínguez; 2Néstor Serfaty";1 - Universidad Nacional de Entre Ríos, 2 - Dirección de Estadisticas y Censos de Entre Ríos
0281 ;17. Trabajo y Restructuración Productiva;"1Rachel Andreta; 2Rosana Campos";1 - UFRGS, 2 - UFSM
0282 ;17. Trabajo y Restructuración Productiva;"1Ana Patrícia Dias; 2Francisco José Sales";1 - Universidade Federal do Rio Grande do Norte, 2 - Universidade Federal do Ceará
0283 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Julien Vanhulst; 2Adrián E. Beling";1 - Universidad Católica del Maule, 2 - FLACSO Argentina
0284 ;12. sociología de la cultura, arte e interculturalidad;1Moisés Jaime Bailón;1 - Comisión Nacional de los Derechos Humanos
0285 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1María Soledad Gaytán; 2Andrea Eliana Castilla; 1Alejandro Alvarado";1 - Universidad Autónoma del Estado de México, 2 - Instituto Universitario de Investigación Ortega y Gasset
0286 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Fabiano;1 - Instituto Federal da Bahia
0287 ;16. Universidad Latinoamericana: interpelaciones y desafíos;"1Eduardo Perez; 2Leyah Bergman; 1Maritza Arcia; 1Dunia Pino";1 - Universidad de Cienfuegos, 2 - Universidad de Arkansas
0288 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1José De Oliveira Junior; 2José Rogério";1 - IFAL/UNISINOS, 2 - UNISINOS
0289 ;19. Acciones Colectivas y Movimientos Sociales;1Pablo Leandro Díaz;1 - UDELAR
0292 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Camila Esguerra;1 - Universidad de Los Andes
0293 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Camila Esguerra;1 - Universidad de Los Andes
0294 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Carla Maria Lobato;1 - Universidade Federal do Maranhão
0295 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Mireya Rosas; 1Aline Marina Ortega; 1Rita Trinidad Rodríguez";1 - Instituto Politécnico Nacional
0297 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Yasmany Herrera;1 - Universidad de Oriente
0298 ;18. Salud y Seguridad Social;1André Luis Nogueira;1 - FGV/IBGE
0299 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Asael Ortiz;1 - Universidad Autónoma del Estado de Hidalgo
0300 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Mónica Alejandra Vargas;1 - Universidad de Chile
0301 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Gabeiela Wyczykier; 2Damian Corral";1 - Universidad Nacional de Gral Sarmiento/ CONICET, 2 - Universidad Nacional de Gral Sarmiento
0304 ;01. Ciencia, Tecnologías e Innovación;1Ester Elizabeth Lopez;1 - CONICET
0306 ;08. Desigualdad, Pobreza y Exclusión Social;1Fernando Enrique Lang;1 - Universidad Arturo Prat
0307 ;08. Desigualdad, Pobreza y Exclusión Social;1Calvin Furtado;1 - Universidade Federal do Rio Grande do Sul
0308 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Héctor Claudio Rivera;1 - universidad alberto hurtado
0309 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Claudia Riestra;1 - FLACSO Uruguay
0310 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Laura Loeza;1 - Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades, Universidad Nacional Autónoma de México
0311 ;13. Teoría Social y Pensamiento Latinoamericano;1Adelia Ribeiro;1 - UFES
0312 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Ariadne Paulo;1 - Universidade de São Paulo
0313 ;24. Sociología de la Educación y Políticas Educativas;1Andrey Sgorla;1 - PUCRS
0314 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1María Beatriz Romero;1 - Universidad Iberoamericana de La Ciudad de México
0315 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Juan Pablo Marín Álvarez;1 - Universidad de Antioquia
0316 ;15. Metodología y Epistemología de las Ciencias Sociales;1Charles Maciel Falcão;1 - UFAM
0317 ;24. Sociología de la Educación y Políticas Educativas;1Pamela Ayala;1 - Pontificia Universidad Católica de Chile
0318 ;22. Sociología del Ocio y el Deporte;1Rodrigo Andres Soto;1 - Universidad de Santiago de Chile
0319 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Laura Senna;1 - UFSM
0320 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Karen Glavic;1 - Universidad de Chile
0321 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Guilherme Da Cruz;1 - Universidade Federal da Integração Latino-americana
0322 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Tânia Farias; 1Fernanda Fonseca; 1Lucas Pereira";1 - Universidade Federal de Pernambuco
0323 ;05. Desarrollo Rural y cuestión agraria;1Marcos Piccin;1 - UFSM
0324 ;06. Imaginarios Sociales y Memoria;"1Cristina Ines Bettanin; 2Julieta Bartoletti";1 - UNDAV/UNPAZ, 2 - UNDAV/UBA
0325 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Mariana Aparicio;1 - Centro de Relaciones Internacionales, Facultad de Ciencias Políticas y Sociales, Universidad Nacional Autónoma de México
0326 ;05. Desarrollo Rural y cuestión agraria;"1Clara De La Vega; 2María Paula Albarracín; 2Enzo Leandro Aciar; 2Martín Alberto Riveros; 2Graciela Beatriz De Cara; 2Gabriela Paola Tomsig; 2Gabriela Carolina Carabajal";1 - IISE (Instituto de Investigaciones Socioeconómicas, 2 - IISE
0327 ;17. Trabajo y Restructuración Productiva;"1Luciano Dos Santos Diniz; 1Ana Luiza Figueiredo Viégas; 1Bárbara Gabrielle Silva; 1Natália Oliveira Gonzaga; 1Mariana Duarte Silva";1 - CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS- CEFET MG
0328 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Constantino Villarroel;1 - Universidad Andres Bello
0329 ;12. sociología de la cultura, arte e interculturalidad;1Carlos Alfonso Gutiérrez;1 - Universidad Iberoamericana
0330 ;05. Desarrollo Rural y cuestión agraria;1Fabiola Carranza;1 - PUCP
0331 ;17. Trabajo y Restructuración Productiva;1Claudia Gonzalez;1 - Universidad de Chile
0332 ;06. Imaginarios Sociales y Memoria;1Sergio Vivanco;1 - Corporación Opción
0333 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Marcio Henrique Pereira; 1Leonardo Mattoso";1 - Universidade de São Paulo
0334 ;26. Sociología de los Cuerpos y las Emociones;1Juan Manuel Pavía;1 - Universidad Autónoma de Occidente
0335 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Fernanda Fonseca; 1Tânia Farias; 1Roberta Bivar";1 - Universidade Federal de Pernambuco
0336 ;19. Acciones Colectivas y Movimientos Sociales;1Philippe Marcel Schaffhauser;1 - Colegio de Michoacán
0337 ;24. Sociología de la Educación y Políticas Educativas;"1Mahira González; 2Tabaré Fernández";1 - Centro Universitario de Rivera, 2 - Facultad de Ciencias Sociales
0338 ;19. Acciones Colectivas y Movimientos Sociales;1Maria Da Gloria Gohn;1 - UNICAMP-UFABC
0339 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Maria Da Gloria Gohn;1 - UNICAMP/UFABC
0340 ;24. Sociología de la Educación y Políticas Educativas;"1Rodolfo Nicolás Rodríguez; 1Laura Esperanza Echavarría";1 - UNAM
0341 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Daiane Carnelos; 1Luiz Demétrio Janz";1 - UFPR
0342 ;18. Salud y Seguridad Social;1Alejandro Arnaldo Barroso;1 - Universidad Autónoma Metropolitana
0343 ;26. Sociología de los Cuerpos y las Emociones;"1Ana Rosa Rodríguez; 1Lorena Fabiola Martínez; 1Obdulia Escalante; 2Arturo Barraza";1 - Facultad de Trabajo Social de la Universidad Juárez del Estado de Durango, 2 - Universidad Pedagógica de Durango
0346 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Jair Eduardo Chávez; 1Samantha Rubí Lara; 1Alan Adrian Moreno; 1Beatriz Márquez";1 - Universidad Autónoma de Zacatecas
0347 ;08. Desigualdad, Pobreza y Exclusión Social;1Vitor Bahia;1 - Universidade Federal de Pernambuco - UFPE
0348 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Céli Pinto;1 - UFRGS
0349 ;01. Ciencia, Tecnologías e Innovación;1Alvaro Gascue;1 - FIC-UDELAR
0350 ;20. Sociología de la Religión;1David Avilés;1 - Universidad Nacional de Córdoba
0351 ;08. Desigualdad, Pobreza y Exclusión Social;1Ana Rojas;1 - Universidad Autónoma de Zacatecas
0352 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Alejandro Noboa; 2Natalia Bisio";1 - Universidad de la República, 2 - Universidad de la República
0354 ;08. Desigualdad, Pobreza y Exclusión Social;1Edna Oliveira;1 - UFRJ
0355 ;13. Teoría Social y Pensamiento Latinoamericano;1Mauricio Hashizume;1 - Universidade de Coimbra
0356 ;15. Metodología y Epistemología de las Ciencias Sociales;1María Sol T.;1 - CIECS-CONICET
0357 ;20. Sociología de la Religión;1Jose David Buelvas;1 - Universidad Cooperativa de Colombia
0358 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Daniela Moura;1 - Universidade Federal de Sergipe
0360 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Gabriela Maldonado;1 - UBA
0361 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Gisela Ariana Rausch;1 - CONICET / Universidad nacional del Litoral
0362 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Juan José Carrillo Nieto;1 - París 1 Sorbonne
0363 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Iliana Del Rocío Padilla; 1Beatriz Arita";1 - Universidad Autónoma de Sinaloa
0364 ;24. Sociología de la Educación y Políticas Educativas;"1Mireya Rosas; 1Rita Trinidad Rodríguez; 1Aline Marina Ortega";1 - Instituto Politécnico Nacional
0365 ;22. Sociología del Ocio y el Deporte;1Sergio Fernández;1 - UNIVERSIDAD NACIONAL DE SAN MARTIN
0366 ;26. Sociología de los Cuerpos y las Emociones;1Thiago Lira;1 - UFPE
0367 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Maria Lúcia Vannuchi;1 - UFU - Universidade Federal de Uberlândia
0368 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Emilia Alfieri;1 - Grupo de Estudios Delito y Sociedad. Centro de Estudios Históricos de Estado, Política y Cultura (CEHEPYC/CLACSO) - Facultad de Derecho y Ciencias Sociales. Universidad Nacional del Comahue
0369 ;24. Sociología de la Educación y Políticas Educativas;1Camila Rosatti;1 - USP
0371 ;20. Sociología de la Religión;1Edgar Zavala;1 - Universidad de Estocolmo
0372 ;20. Sociología de la Religión;"1Marcio Henrique Pereira; 1Lucas Massoni";1 - Universidade de São Paulo (USP)
0373 ;26. Sociología de los Cuerpos y las Emociones;1Zeyda Rodríguez;1 - Universidad de Guadalajara
0374 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Márcia Cristina Lazzari;1 - Universidade do Estado do Amazonas - UEA
0375 ;22. Sociología del Ocio y el Deporte;"1Rosana Montequin; 2Karina Fortete";1 - Facultad de Humanidades y Ciencias de la Educación, 2 - Ministerio de Turismo
0376 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Mariana Fernández;1 - CONICET- IIGG
0377 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Fabio;1 - UNICAMP - Universidade Estadual de Campinas
0378 ;15. Metodología y Epistemología de las Ciencias Sociales;1Ricardo Regules;1 - Programa Universitario de Estudios del Desarrollo UNAM
0379 ;17. Trabajo y Restructuración Productiva;1Jose De Lima;1 - Universidade Federal de Goiás - UFG
0380 ;15. Metodología y Epistemología de las Ciencias Sociales;1Rafael Silveira de Aguiar;1 - Universidade Federal do Ceará
0381 ;05. Desarrollo Rural y cuestión agraria;1Valdemar João Wesz Junior;1 - Universidade Federal da Integração Latino-Americana (UNILA)
0382 ;15. Metodología y Epistemología de las Ciencias Sociales;"1Ana Araceli Navarro; 1Laura Sánchez";1 - Universidad de Guadalajara
0384 ;13. Teoría Social y Pensamiento Latinoamericano;"1Felipe Fontana; 1Vera Alves";1 - Programa de Pós Graduação em Ciência Política da Universidade Federal de São Carlos (PPG-Pol/UFSCar)
0385 ;05. Desarrollo Rural y cuestión agraria;1Maria Fernanda Sañudo;1 - Instituto Pensar. Pontificia Universidad Javeriana
0386 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Emilene Leite; 2Pedro Ramos; 2Raimundo Carvalho; 2Fabrício Nascimento";1 - UFMA, 2 - UEMA
0387 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Martha Araceli Zanabria;1 - Universidad Autónoma Metropolitana Xochimilco
0389 ;19. Acciones Colectivas y Movimientos Sociales;1Malely Linares;1 - Universidad Nacional Autónoma de México
0390 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Verónica Gómez; 2Andrés Jiménez";1 - Universidad Autónoma de Chile, 2 - Universidad de Talca
0391 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Emilene Leite; 1Bruno Henrique Lima; 1Josué Costa; 1Lucas Oliveira";1 - UFMA
0392 ;20. Sociología de la Religión;1María Victoria Sotelo;1 - Facultad de Ciencias Sociales - UDELAR
0394 ;26. Sociología de los Cuerpos y las Emociones;1Marta Rizo;1 - Universidad Autónoma de la Ciudad de México
0399 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Nathaly Robles;1 - Universidad Nacional, Costa Rica
0400 ;05. Desarrollo Rural y cuestión agraria;"1Beatriz Márquez; 1Alan Adrián Moreno; 1Samantha Rubí Lara; 1Jair Eduardo Chávez";1 - Universidad Autónoma de Zacatecas Unidad Académica de Economía
0401 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Beatrice Cavalcante;1 - Universidade Federal do Rio de Janeiro
